ID_OFICIAL;NOMBRE_BASE_OFICIAL;Escuela;URL Bibliografia;FOTO_URL
23;Gestión De Personas;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=151&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-gestion-de-recursos-humanos.jpg?updatedAt=1738199307693
24;Administración De Empresas;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=120&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-administracion-de-empresas.jpg?updatedAt=1738199307747
25;Ingeniería Operaciones Logísticas;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=128&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-gestion-de-operaciones-logisticas.jpg?updatedAt=1738199310421
26;Ingeniería Comercio Internacional;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=168;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/8-Nuevas-Carreras-2026/Ingenieri%CC%81a%20en%20Comercio%20Internacional.jpg
27;Ingeniería Gestión de Personas;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=130&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-gestion-de-recursos-humanos.jpg?updatedAt=1738199309805
28;Operaciones Logísticas;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=121&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-operaciones-logisticas.jpg?updatedAt=1738199307834
29;Diseño Gráfico;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=20&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/diseno-grafico.jpg?updatedAt=1738193910206
30;Diseño Vestuario Mención Alta Costura;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=19&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/diseno-de-vestuario-mencion-alta-costura.jpg?updatedAt=1738193910099
31;Técnico en Marketing Digital;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=126&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-marketing-digital.jpg?updatedAt=1738193913065
32;Técnico en Animación 3D;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=139&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-animacion-3D.jpg?updatedAt=1738193910133
33;Técnico en Diseño Gráfico;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=114&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-diseno-grafico.jpg?updatedAt=1738193912993
34;Técnico en Diseño de Vestuario;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=76&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-diseno-de-vestuario.jpg?updatedAt=1738193910020
35;Técnico Arte y Gestión Cultural;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=62&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-arte-y-gestion-cultural.jpg?updatedAt=1738193910125
36;Técnico Comunicación y Relaciones Públicas;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=73&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-comunicacion-y-relaciones-publicas.jpg?updatedAt=1738193910010
37;Ingeniería de Ejecución Sonido;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=36&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/ingenieria-en-sonido.jpg?updatedAt=1738193910232
38;Técnico en Sonido;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=105&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-sonido.jpg?updatedAt=1738193913308
39;Teatro;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=61&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/teatro.jpg?updatedAt=1738193910199
40;Técnico Diseño Espacio y Equipamiento;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=75&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-diseno-de-espacios-y-equipamiento.jpg?updatedAt=1738193910081
41;Técnico Locución y Conducción Radio y TV.;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=93&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-locucion-y-conduccion-de-radio-y-television.jpg?updatedAt=1738193912765
42;Ingeniería en Animación 3D;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=28&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/ingenieria-en-animacion-3D.jpg?updatedAt=1738193910251
43;Técnico Producción Audiovisual;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=101&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-produccion-audiovisual.jpg?updatedAt=1738193913297
44;Ingeniería en Sonido;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=42&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/ingenieria-en-sonido.jpg?updatedAt=1738193910232
