Escuela;Nombre Carrera;URL Carrera;FOTO_URL
Arte & Industrias Creativas;COMUNICACIÓN Y RELACIONES PÚBLICAS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=11&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-comunicacion-y-relaciones-publicas.jpg?updatedAt=1738193910010
Arte & Industrias Creativas;DISEÑO DE VESTUARIO MENCIÓN ALTA COSTURA;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=19&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/diseno-de-vestuario-mencion-alta-costura.jpg?updatedAt=1738193910099
Arte & Industrias Creativas;DISEÑO GRÁFICO;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=20&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/diseno-grafico.jpg?updatedAt=1738193910206
Arte & Industrias Creativas;INGENIERÍA DE EJECUCIÓN SONIDO;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=36&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-sonido.jpg?updatedAt=1738193913308
Arte & Industrias Creativas;INGENIERÍA EN ANIMACIÓN 3D;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=28&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/ingenieria-en-animacion-3D.jpg?updatedAt=1738193910251
Arte & Industrias Creativas;INGENIERÍA EN SONIDO;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=42&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-sonido.jpg?updatedAt=1738193913308
Arte & Industrias Creativas;TEATRO;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=61&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/teatro.jpg?updatedAt=1738193910199
Arte & Industrias Creativas;TÉCNICO EN ANIMACIÓN 3D;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=139&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/teatro.jpg?updatedAt=1738193910199
Arte & Industrias Creativas;TÉCNICO EN ARTE Y GESTIÓN CULTURAL;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=62&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-arte-y-gestion-cultural.jpg?updatedAt=1738193910125
Arte & Industrias Creativas;TÉCNICO EN COMUNICACIÓN Y RELACIONES PÚBLICAS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=73&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-comunicacion-y-relaciones-publicas.jpg?updatedAt=1738193910010
